"File","Line","Severity","Pattern","Code","Description","Fix"
"lib\core\maintenance\maintenance_service.dart","450","HIGH","UnsafeToString","error: e.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\maintenance\maintenance_service.dart","556","HIGH","UnsafeToString","'error': e.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\maintenance\maintenance_service.dart","647","HIGH","UnsafeToString","error: e.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\maintenance\maintenance_service.dart","670","HIGH","UnsafeToString","return 'backup_${now.year}${now.month.toString().padLeft(2, '0')}${now.day.toString().padLeft(2, '0')}_${_random.nextInt(10000)}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\maintenance\maintenance_service.dart","670","HIGH","PropertyChainToString","return 'backup_${now.year}${now.month.toString().padLeft(2, '0')}${now.day.toString().padLeft(2, '0')}_${_random.nextInt(10000)}';","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\monetization\creator_economy_service.dart","377","CRITICAL","NullAssertion","final creatorData = creatorDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monetization\creator_economy_service.dart","431","CRITICAL","NullAssertion","final creatorData = creatorDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monetization\creator_economy_service.dart","557","CRITICAL","NullAssertion","final creatorData = creatorDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monetization\creator_economy_service.dart","715","CRITICAL","NullAssertion","final bonusData = bonusDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monetization\monetization_engine.dart","674","CRITICAL","NullAssertion","final data = userDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monetization\offer_engine.dart","246","CRITICAL","NullAssertion","final cached = _userOffers[uid]!.where((o) => o.isActive).toList();","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monetization\offer_engine.dart","530","CRITICAL","NullAssertion","return _churnRiskCache[userId]!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monetization\offer_engine.dart","557","CRITICAL","NullAssertion","final userData = userDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monetization\offer_engine.dart","634","CRITICAL","NullAssertion","final userData = userDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\monitoring\monitoring_dashboard.dart","44","HIGH","UnsafeToString","_error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\monitoring\monitoring_dashboard.dart","88","MEDIUM","StringInterpolation","Text('Error: $_error'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\monitoring\monitoring_dashboard.dart","136","HIGH","UnsafeToString","return '${dt.month}/${dt.day}/${dt.year} ${dt.hour}:${dt.minute.toString().padLeft(2, '0')}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\monitoring\monitoring_dashboard.dart","136","HIGH","PropertyChainToString","return '${dt.month}/${dt.day}/${dt.year} ${dt.hour}:${dt.minute.toString().padLeft(2, '0')}';","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\monitoring\monitoring_dashboard.dart","513","HIGH","UnsafeToString","return count.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\multiplatform\multiplatform_service.dart","421","HIGH","UnsafeToString","'errorMessage': e.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\multiplatform\multiplatform_service.dart","574","CRITICAL","NullAssertion","totalDuration += deployment.duration!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\multiplatform\platform_adapter.dart","133","CRITICAL","NullAssertion","return _capabilities!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\network\global_network_service.dart","389","CRITICAL","NullAssertion","final fromCoords = coords[from]!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\network\global_network_service.dart","390","CRITICAL","NullAssertion","final toCoords = coords[to]!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\pagination\pagination_controller.dart","61","HIGH","UnsafeToString","_error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\pagination\pagination_controller.dart","96","HIGH","UnsafeToString","_error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\performance\performance_service.dart","142","HIGH","UnsafeToString","await setTraceAttribute(name, 'error', e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\performance\performance_service.dart","184","HIGH","UnsafeToString","await setTraceAttribute('room_join_total', 'success', success.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\performance\performance_service.dart","196","HIGH","UnsafeToString","await setTraceAttribute('agora_connect_time', 'success', success.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\performance\performance_service.dart","208","HIGH","UnsafeToString","await setTraceAttribute('firestore_presence_write_time', 'success', success.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\performance\performance_service.dart","220","HIGH","UnsafeToString","await setTraceAttribute('video_stream_start_time', 'success', success.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\integrations_service.dart","394","HIGH","UnsafeToString","return IntegrationResult(success: false, error: e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\integrations_service.dart","423","HIGH","UnsafeToString","return key.hashCode.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\integrations_service.dart","423","HIGH","PropertyChainToString","return key.hashCode.toString();","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\platform\integrations_service.dart","492","HIGH","UnsafeToString","return IntegrationResult(success: false, error: e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\integrations_service.dart","600","HIGH","UnsafeToString","return IntegrationResult(success: false, error: e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\integrations_service.dart","691","HIGH","UnsafeToString","return IntegrationResult(success: false, error: e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","400","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","427","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","451","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","464","HIGH","UnsafeToString","'limit': limit.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","487","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","528","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","542","HIGH","UnsafeToString","'limit': limit.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","565","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","606","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","639","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\mm_sdk.dart","675","HIGH","UnsafeToString","return SDKResponse.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\oauth_provider.dart","84","HIGH","UnsafeToString","return sha256.convert(utf8.encode(secret)).toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\oauth_provider.dart","407","CRITICAL","NullAssertion","final providerData = providerDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\platform\oauth_provider.dart","454","HIGH","UnsafeToString","return authUrl.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\oauth_provider.dart","546","HIGH","UnsafeToString","final result = OAuthConnectionResult.failure(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\platform_api_service.dart","323","HIGH","UnsafeToString","final random = _random.nextInt(999999).toString().padLeft(6, '0');","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\platform_api_service.dart","339","HIGH","UnsafeToString","return sha256.convert(bytes).toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\platform_api_service.dart","444","CRITICAL","NullAssertion","final data = tokenDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\platform\trust_dashboard.dart","204","CRITICAL","NullAssertion","value: '${_trustScore!.certificationCount}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\platform\trust_dashboard.dart","210","CRITICAL","NullAssertion","value: '${_trustScore!.violationCount}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\platform\trust_dashboard.dart","274","CRITICAL","NullAssertion","..._trustScore!.categoryScores.entries.map((entry) {","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\platform\trust_dashboard.dart","326","CRITICAL","NullAssertion","..._trustScore!.factors.map((factor) {","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\platform\trust_dashboard.dart","388","MEDIUM","StringInterpolation","subtitle: Text('Level ${cert.level}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\platform\trust_dashboard.dart","754","MEDIUM","StringInterpolation","Text('Rule: ${violation.ruleId}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\platform\trust_dashboard.dart","756","MEDIUM","StringInterpolation","Text('Severity: ${violation.severity.name}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\platform\trust_dashboard.dart","758","MEDIUM","StringInterpolation","Text('Description:\n${violation.description}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\platform\trust_dashboard.dart","762","MEDIUM","StringInterpolation","...violation.evidence.map((e) => Text('• $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\platform\trust_framework.dart","622","CRITICAL","NullAssertion","final data = doc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\platform\trust_framework.dart","794","CRITICAL","NullAssertion","final data = doc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\platform\webhook_handler.dart","94","HIGH","UnsafeToString","return sha256.convert(utf8.encode(secret)).toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\webhook_handler.dart","287","HIGH","UnsafeToString","final random = _random.nextInt(999999).toString().padLeft(6, '0');","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\webhook_handler.dart","436","HIGH","UnsafeToString","error: e.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\webhook_handler.dart","449","HIGH","UnsafeToString","final random = _random.nextInt(999999).toString().padLeft(6, '0');","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\platform\webhook_handler.dart","458","HIGH","UnsafeToString","return hmac.convert(bytes).toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\providers\connectivity_provider.dart","77","HIGH","UnsafeToString","final errorString = error.toString().toLowerCase();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\quality\auto_recovery_service.dart","420","HIGH","UnsafeToString","errorMessage = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\quality\quality_monitor_service.dart","574","CRITICAL","NullAssertion","_recentIncidents[roomId]!.add(incident);","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\quality\quality_monitor_service.dart","577","CRITICAL","NullAssertion","if (_recentIncidents[roomId]!.length > 100) {","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\quality\quality_monitor_service.dart","578","CRITICAL","NullAssertion","_recentIncidents[roomId] = _recentIncidents[roomId]!.sublist(50);","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\release\app_config.dart","29","CRITICAL","NullAssertion","_instance!._flavor = flavor;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\responsive\responsive_utils.dart","163","CRITICAL","NullAssertion","return desktop!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\responsive\responsive_utils.dart","166","CRITICAL","NullAssertion","return tablet!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\responsive\responsive_utils.dart","266","CRITICAL","NullAssertion","? Responsive.responsiveFontSize(context, style!.fontSize!)","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\retention\retention_service.dart","49","CRITICAL","NullAssertion","final data = rewardsDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\retention\retention_service.dart","145","CRITICAL","NullAssertion","final lastClaim = rewardsDoc.data()!['lastSpotlightClaim'] as Timestamp?;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\retention\retention_service.dart","263","CRITICAL","NullAssertion","final lastClaim = rewardsDoc.data()!['lastVipPerksClaim'] as Timestamp?;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\retention\retention_service.dart","420","CRITICAL","NullAssertion","final data = streaksDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\retention\retention_service.dart","513","CRITICAL","NullAssertion","final stats = statsDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\routing\app_routes.dart","181","MEDIUM","StringInterpolation","child: Text('Room: $roomId\n(Coming soon)'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\routing\guards\age_verified_guard.dart","56","HIGH","UnsafeToString","error.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\routing\guards\profile_complete_guard.dart","51","HIGH","UnsafeToString","error.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\safety\safety_ai_service.dart","232","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\safety\safety_ai_service.dart","232","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\safety\safety_ai_service.dart","285","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\safety\safety_ai_service.dart","285","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\safety\safety_ai_service.dart","337","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\safety\safety_ai_service.dart","337","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\safety\safety_ai_service.dart","378","CRITICAL","NullAssertion","final userData = userDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\safety\safety_ai_service.dart","462","CRITICAL","NullAssertion","final userData = userDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\safety\safety_ai_service.dart","490","CRITICAL","NullAssertion","final banData = banDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","386","CRITICAL","NullAssertion","hourlyAvg[hour] = hourlyLoad[hour]! / hourlyCount[hour]!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","401","CRITICAL","NullAssertion","..._currentStats!.toMap(),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","486","CRITICAL","NullAssertion","activeRooms: activeRooms ?? _currentStats!.activeRooms,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","487","CRITICAL","NullAssertion","concurrentStreams: concurrentStreams ?? _currentStats!.concurrentStreams,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","488","CRITICAL","NullAssertion","activeFirestoreListeners: _currentStats!.activeFirestoreListeners,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","489","CRITICAL","NullAssertion","agoraChannels: _currentStats!.agoraChannels,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","490","CRITICAL","NullAssertion","cpuUsage: _currentStats!.cpuUsage,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","491","CRITICAL","NullAssertion","memoryUsage: _currentStats!.memoryUsage,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","492","CRITICAL","NullAssertion","firestoreReadOps: _currentStats!.firestoreReadOps,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","493","CRITICAL","NullAssertion","firestoreWriteOps: _currentStats!.firestoreWriteOps,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\load_monitor.dart","521","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\scale\load_monitor.dart","521","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\scale\scale_service.dart","255","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\scale\scale_service.dart","255","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\scale\scale_service.dart","294","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\scale\scale_service.dart","294","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\scale\scale_service.dart","324","CRITICAL","NullAssertion","final data = roomDoc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\scale\scale_service.dart","411","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\scale\scale_service.dart","411","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\scale\scale_service.dart","548","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\scale\scale_service.dart","548","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\scale\scale_service.dart","573","HIGH","UnsafeToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\scale\scale_service.dart","573","HIGH","PropertyChainToString","id: DateTime.now().millisecondsSinceEpoch.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\services\push_notification_service.dart","305","HIGH","UnsafeToString","payload: message.data.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\services\push_notification_service.dart","305","HIGH","PropertyChainToString","payload: message.data.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\theme\text_styles.dart","9","CRITICAL","NullAssertion","static String get displayFont => GoogleFonts.poppins().fontFamily!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\theme\text_styles.dart","10","CRITICAL","NullAssertion","static String get bodyFont => GoogleFonts.inter().fontFamily!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\theme\text_styles.dart","11","CRITICAL","NullAssertion","static String get accentFont => GoogleFonts.oswald().fontFamily!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\utils\app_logger.dart","16","HIGH","UnsafeToString","debugPrint('  Stack: ${stackTrace.toString().split('\n').take(5).join('\n')}');","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\utils\async_value_utils.dart","136","HIGH","UnsafeToString","final errorString = error.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\utils\pagination_controller.dart","63","HIGH","UnsafeToString","_error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\utils\performance_logger.dart","29","CRITICAL","NullAssertion","_durations[operationName]!.add(duration);","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\features\chat_list_page.dart","38","MEDIUM","StringInterpolation","Text('Error loading chats: $error'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_list_page.dart","183","CRITICAL","NullAssertion","? user!.displayName![0].toUpperCase()","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\features\chat_list_page.dart","292","CRITICAL","NullAssertion","child: Text(user.displayName?.isNotEmpty == true ? user.displayName![0].toUpperCase() : '?'),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\features\chat_list_page.dart","313","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to start chat: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","64","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to send message: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","101","CRITICAL","NullAssertion","user!.photos.first,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\features\chat_room_page.dart","108","CRITICAL","NullAssertion",": Text(user?.displayName?.isNotEmpty == true ? user!.displayName![0].toUpperCase() : '?'),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\features\chat_room_page.dart","186","MEDIUM","StringInterpolation","child: Text('Error loading messages: $error'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","274","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to delete message: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","353","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to upload image: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","388","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to upload file: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","422","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to take photo: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","474","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to block user: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","577","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to submit report: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\chat_room_page.dart","716","HIGH","UnsafeToString","return 'Today ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\features\chat_room_page.dart","716","HIGH","PropertyChainToString","return 'Today ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\features\chat_room_page.dart","718","HIGH","UnsafeToString","return 'Yesterday ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\features\chat_room_page.dart","718","HIGH","PropertyChainToString","return 'Yesterday ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\features\chat_room_page.dart","720","HIGH","UnsafeToString","return '${timestamp.month}/${timestamp.day} ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\features\chat_room_page.dart","720","HIGH","PropertyChainToString","return '${timestamp.month}/${timestamp.day} ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\features\create_event_page.dart","109","CRITICAL","NullAssertion","if (!_formKey.currentState!.validate()) return;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\features\create_event_page.dart","176","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to create event: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\create_event_page.dart","224","CRITICAL","NullAssertion","image: _selectedImagePath!.startsWith('http')","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\features\create_event_page.dart","490","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to pick image: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\create_profile_page.dart","96","MEDIUM","StringInterpolation","SnackBar(content: Text('Error picking image: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\features\create_profile_page.dart","103","CRITICAL","NullAssertion","if (!_formKey.currentState!.validate()) return;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\features\create_profile_page.dart","154","MEDIUM","StringInterpolation","SnackBar(content: Text('Error creating profile: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
